case,algorithm,n,time(ms)
1,bubble,100,0.034000
1,bubble,100,0.032000
1,bubble,100,0.034000
1,bubble,100,0.033000
1,bubble,100,0.033000
1,bubble,1000,2.286000
1,bubble,1000,2.272000
1,bubble,1000,2.302000
1,bubble,1000,2.257000
1,bubble,1000,2.304000
1,bubble,10000,232.569000
1,bubble,10000,234.908000
1,bubble,10000,239.433000
1,bubble,10000,239.173000
1,bubble,10000,233.317000
1,bubble,100000,31561.201000
1,bubble,100000,31553.058000
1,bubble,100000,31557.145000
1,bubble,100000,31572.109000
1,bubble,100000,31588.610000
1,selection,100,0.019000
1,selection,100,0.017000
1,selection,100,0.018000
1,selection,100,0.017000
1,selection,100,0.017000
1,selection,1000,0.887000
1,selection,1000,0.827000
1,selection,1000,0.794000
1,selection,1000,0.794000
1,selection,1000,0.791000
1,selection,10000,71.028000
1,selection,10000,71.010000
1,selection,10000,71.054000
1,selection,10000,71.121000
1,selection,10000,71.116000
1,selection,100000,7047.575000
1,selection,100000,7048.451000
1,selection,100000,7047.528000
1,selection,100000,7047.886000
1,selection,100000,7050.042000
1,insertion,100,0.017000
1,insertion,100,0.016000
1,insertion,100,0.017000
1,insertion,100,0.017000
1,insertion,100,0.013000
1,insertion,1000,1.127000
1,insertion,1000,1.120000
1,insertion,1000,1.096000
1,insertion,1000,1.129000
1,insertion,1000,1.134000
1,insertion,10000,112.270000
1,insertion,10000,109.750000
1,insertion,10000,110.609000
1,insertion,10000,112.349000
1,insertion,10000,111.118000
1,insertion,100000,11312.912000
1,insertion,100000,11279.081000
1,insertion,100000,11227.551000
1,insertion,100000,11289.551000
1,insertion,100000,11210.569000
2,bubble,100,0.028000
2,bubble,100,0.026000
2,bubble,100,0.027000
2,bubble,100,0.031000
2,bubble,100,0.035000
2,bubble,1000,1.761000
2,bubble,1000,1.703000
2,bubble,1000,1.714000
2,bubble,1000,1.761000
2,bubble,1000,1.742000
2,bubble,10000,182.831000
2,bubble,10000,183.227000
2,bubble,10000,185.847000
2,bubble,10000,190.427000
2,bubble,10000,186.266000
2,bubble,100000,32197.969000
2,bubble,100000,32124.994000
2,bubble,100000,31999.889000
2,bubble,100000,32145.429000
2,bubble,100000,32284.448000
2,selection,100,0.014000
2,selection,100,0.016000
2,selection,100,0.015000
2,selection,100,0.015000
2,selection,100,0.013000
2,selection,1000,0.808000
2,selection,1000,0.811000
2,selection,1000,0.875000
2,selection,1000,0.873000
2,selection,1000,0.809000
2,selection,10000,72.415000
2,selection,10000,72.132000
2,selection,10000,72.573000
2,selection,10000,72.496000
2,selection,10000,72.524000
2,selection,100000,7233.037000
2,selection,100000,7224.497000
2,selection,100000,7211.960000
2,selection,100000,7222.303000
2,selection,100000,7226.270000
2,insertion,100,0.016000
2,insertion,100,0.015000
2,insertion,100,0.010000
2,insertion,100,0.010000
2,insertion,100,0.011000
2,insertion,1000,0.783000
2,insertion,1000,0.748000
2,insertion,1000,0.799000
2,insertion,1000,0.763000
2,insertion,1000,0.742000
2,insertion,10000,76.222000
2,insertion,10000,72.935000
2,insertion,10000,74.613000
2,insertion,10000,77.185000
2,insertion,10000,71.807000
2,insertion,100000,7379.379000
2,insertion,100000,7452.402000
2,insertion,100000,7382.673000
2,insertion,100000,7400.413000
2,insertion,100000,7447.808000
3,bubble,100,0.031000
3,bubble,100,0.031000
3,bubble,100,0.037000
3,bubble,100,0.036000
3,bubble,100,0.034000
3,bubble,1000,1.894000
3,bubble,1000,1.849000
3,bubble,1000,1.894000
3,bubble,1000,1.852000
3,bubble,1000,1.890000
3,bubble,10000,197.155000
3,bubble,10000,195.054000
3,bubble,10000,207.171000
3,bubble,10000,200.497000
3,bubble,10000,194.489000
3,bubble,100000,29413.308000
3,bubble,100000,29743.860000
3,bubble,100000,29450.885000
3,bubble,100000,29442.398000
3,bubble,100000,29385.607000
3,selection,100,0.019000
3,selection,100,0.018000
3,selection,100,0.013000
3,selection,100,0.014000
3,selection,100,0.013000
3,selection,1000,0.824000
3,selection,1000,0.825000
3,selection,1000,0.805000
3,selection,1000,0.811000
3,selection,1000,0.814000
3,selection,10000,71.180000
3,selection,10000,71.173000
3,selection,10000,71.295000
3,selection,10000,71.187000
3,selection,10000,71.265000
3,selection,100000,7058.630000
3,selection,100000,7060.150000
3,selection,100000,7060.643000
3,selection,100000,7058.367000
3,selection,100000,7057.500000
3,insertion,100,0.013000
3,insertion,100,0.010000
3,insertion,100,0.011000
3,insertion,100,0.011000
3,insertion,100,0.011000
3,insertion,1000,0.839000
3,insertion,1000,0.830000
3,insertion,1000,0.848000
3,insertion,1000,0.825000
3,insertion,1000,0.806000
3,insertion,10000,80.402000
3,insertion,10000,79.774000
3,insertion,10000,78.873000
3,insertion,10000,82.488000
3,insertion,10000,85.965000
3,insertion,100000,7996.401000
3,insertion,100000,7926.468000
3,insertion,100000,7768.573000
3,insertion,100000,7863.055000
3,insertion,100000,7844.671000
4,bubble,100,0.030000
4,bubble,100,0.035000
4,bubble,100,0.026000
4,bubble,100,0.028000
4,bubble,100,0.028000
4,bubble,1000,1.803000
4,bubble,1000,1.725000
4,bubble,1000,2.031000
4,bubble,1000,1.799000
4,bubble,1000,2.054000
4,bubble,10000,183.910000
4,bubble,10000,191.577000
4,bubble,10000,187.296000
4,bubble,10000,184.736000
4,bubble,10000,195.795000
4,bubble,100000,29906.569000
4,bubble,100000,29815.088000
4,bubble,100000,29670.708000
4,bubble,100000,29495.598000
4,bubble,100000,30300.377000
4,selection,100,0.017000
4,selection,100,0.013000
4,selection,100,0.013000
4,selection,100,0.013000
4,selection,100,0.013000
4,selection,1000,0.854000
4,selection,1000,0.895000
4,selection,1000,0.841000
4,selection,1000,0.800000
4,selection,1000,0.850000
4,selection,10000,71.518000
4,selection,10000,71.661000
4,selection,10000,71.371000
4,selection,10000,71.306000
4,selection,10000,71.497000
4,selection,100000,7073.657000
4,selection,100000,7070.690000
4,selection,100000,7070.640000
4,selection,100000,7157.792000
4,selection,100000,7073.584000
4,insertion,100,0.011000
4,insertion,100,0.008000
4,insertion,100,0.010000
4,insertion,100,0.009000
4,insertion,100,0.008000
4,insertion,1000,0.820000
4,insertion,1000,0.810000
4,insertion,1000,0.859000
4,insertion,1000,0.801000
4,insertion,1000,0.793000
4,insertion,10000,76.469000
4,insertion,10000,79.351000
4,insertion,10000,76.588000
4,insertion,10000,75.517000
4,insertion,10000,73.750000
4,insertion,100000,7575.798000
4,insertion,100000,7587.861000
4,insertion,100000,7614.397000
4,insertion,100000,7648.257000
4,insertion,100000,7628.090000
